Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
sec35,0.0025,0,-6.93889390390723E-18,0,0,0,0.0015707963267949,7.85398163397448E-08,-1.615159831157E-24,1.40937801915213E-23,4.25424005173618E-08,-5.70409964073025E-24,4.25424005173618E-08,0,0,0,0,0,0,package://try33/meshes/sec35.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec35.STL,,soliddisk-16,Coordinate System35,Axis_joint35,joint35,fixed,0.01,0,0,0,0,0,sec34,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec36,0.0025,0,-5.20417042793042E-18,0,0,0,0.0015707963267949,7.85398163397449E-08,-1.61515983115699E-24,1.38180533206703E-23,4.25424005173619E-08,-5.70409964073026E-24,4.25424005173619E-08,0,0,0,0,0,0,package://try33/meshes/sec36.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec36.STL,,soliddisk-17,Coordinate System36,Axis_joint36,joint36,fixed,0.01,0,0,0,0,0,sec35,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec37,0.0025,0,-6.93889390390723E-18,0,0,0,0.0015707963267949,7.85398163397449E-08,-1.61515983115699E-24,1.38180533206703E-23,4.25424005173619E-08,-5.70409964073026E-24,4.25424005173619E-08,0,0,0,0,0,0,package://try33/meshes/sec37.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec37.STL,,soliddisk-18,Coordinate System37,Axis_joint37,joint37,fixed,0.01,0,0,0,0,0,sec36,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec38,0.0025,0,-5.20417042793042E-18,0,0,0,0.0015707963267949,7.85398163397449E-08,-1.61515983115699E-24,1.40937801915213E-23,4.25424005173619E-08,-5.70409964073026E-24,4.25424005173619E-08,0,0,0,0,0,0,package://try33/meshes/sec38.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec38.STL,,soliddisk-19,Coordinate System38,Axis_joint38,joint38,fixed,0.01,0,0,0,0,0,sec37,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec39,0.0025,0,-5.20417042793042E-18,0,0,0,0.0015707963267949,7.85398163397449E-08,-1.61515983115699E-24,1.38180533206703E-23,4.25424005173619E-08,-5.70409964073026E-24,4.25424005173619E-08,0,0,0,0,0,0,package://try33/meshes/sec39.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec39.STL,,soliddisk-20,Coordinate System39,Axis_joint39,joint39,fixed,0.01,0,0,0,0,0,sec38,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec40,0.0025,0,-6.93889390390723E-18,0,0,0,0.0015707963267949,7.85398163397449E-08,-1.61515983115699E-24,1.38180533206703E-23,4.25424005173619E-08,-5.70409964073026E-24,4.25424005173619E-08,0,0,0,0,0,0,package://try33/meshes/sec40.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec40.STL,,soliddisk-21,Coordinate System40,Axis_joint40,joint40,fixed,0.01,0,0,0,0,0,sec39,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec41,-0.0025,0,0,0,0,0,0.0015707963267949,7.85398163397449E-08,3.97357526418547E-26,-3.9175318306672E-24,4.25424005173618E-08,1.82669051938794E-24,4.25424005173618E-08,0,0,0,0,0,0,package://try33/meshes/sec41.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec41.STL,,soliddisk-22,Coordinate System41,Axis_joint41,joint41,revolute,-0.011,0.01,0,0,0,0,base02,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec42,-0.0025,1.38777878078145E-17,-5.20417042793042E-18,0,0,0,0.0015707963267949,7.85398163397449E-08,3.97357526418553E-26,-3.9175318306672E-24,4.25424005173618E-08,-4.23930063933427E-24,4.25424005173618E-08,0,0,0,0,0,0,package://try33/meshes/sec42.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec42.STL,,soliddisk-23,Coordinate System42,Axis_joint42,joint42,fixed,-0.01,0,0,0,0,0,sec41,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec43,-0.0025,1.38777878078145E-17,-6.93889390390723E-18,0,0,0,0.00157079632679489,7.85398163397448E-08,5.91189494343873E-25,-5.02043931407123E-24,4.25424005173618E-08,-1.20630505997316E-24,4.25424005173617E-08,0,0,0,0,0,0,package://try33/meshes/sec43.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec43.STL,,soliddisk-24,Coordinate System43,Axis_joint43,joint43,fixed,-0.01,0,0,0,0,0,sec42,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec44,-0.0025,0,-5.20417042793042E-18,0,0,0,0.0015707963267949,7.85398163397448E-08,3.15462623492864E-25,-4.46898557236922E-24,4.25424005173618E-08,1.82669051938794E-24,4.25424005173618E-08,0,0,0,0,0,0,package://try33/meshes/sec44.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://try33/meshes/sec44.STL,,soliddisk-25,Coordinate System44,Axis_joint44,joint44,fixed,-0.01,0,0,0,0,0,sec43,0,0,0,100,0,-1.571,1.571,,,,,,,,
