Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.21430643318376E-17,0.0721264987789416,-0.311073101363761,0,0,0,0.285332741228719,0.00591175895401421,-7.42417332972305E-20,1.96368847316572E-19,0.00597979011652507,0.000797310950266471,0.000796200497138781,0,0,0,0,0,0,package://virtual/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/base_link.STL,,Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link01,0,0,0.005,0,0,0,0.019635,3.2316E-06,1.2745E-54,4.8367E-39,3.2316E-06,-4.743E-39,6.1359E-06,0,0,0,0,0,0,package://virtual/meshes/link01.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://virtual/meshes/link01.STL,,soliddisk-1,Coordinate System1,,joint01,revolute,0,0,0,0,0,0,base_link,0,0,0,100,0,-1.571,1.571,,,,,,,,
link02,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,-3.82342058671789E-54,3.24386360874411E-38,3.23158619314575E-06,-4.74299031266812E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtual/meshes/link02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link02.STL,,soliddisk-2,Coordinate System2,,joint02,revolute,0,0,-0.03,0,0,0,link01,0,0,0,100,0,-1.571,1.571,,,,,,,,
link03,0,0,0.00499999999999999,0,0,0,0.0196349540849362,3.23158619314575E-06,7.64684117343577E-54,-4.38212158847711E-38,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtual/meshes/link03.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link03.STL,,soliddisk-3,Coordinate System3,,joint03,revolute,0,0,-0.03,0,0,0,link02,0,0,0,100,0,-1.571,1.571,,,,,,,,
link04,0,0,0.00499999999999999,0,0,0,0.0196349540849362,3.23158619314575E-06,-1.65681558757775E-53,1.11213714405267E-37,3.23158619314575E-06,-4.74299031266812E-39,6.13592315154256E-06,0,0,0,0,0,0,package://virtual/meshes/link04.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link04.STL,,soliddisk-4,Coordinate System4,,joint04,revolute,0,0,-0.03,0,0,0,link03,0,0,0,100,0,-1.571,1.571,,,,,,,,
link05,0,0,0.00500000000000002,0,0,0,0.0196349540849362,3.23158619314575E-06,-1.65681558757775E-53,1.11213714405267E-37,3.23158619314575E-06,-4.74299031266812E-39,6.13592315154256E-06,0,0,0,0,0,0,package://virtual/meshes/link05.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link05.STL,,soliddisk-5,Coordinate System5,,joint05,revolute,0,0,-0.03,0,0,0,link04,0,0,0,100,0,-1.571,1.571,,,,,,,,
link06,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtual/meshes/link06.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link06.STL,,soliddisk-6,Coordinate System6,,joint06,revolute,0,0,-0.03,0,0,0,link05,0,0,0,100,0,-1.571,1.571,,,,,,,,
link07,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtual/meshes/link07.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link07.STL,,soliddisk-7,Coordinate System7,,joint07,revolute,0,0,-0.03,0,0,0,link06,0,0,0,100,0,-1.571,1.571,,,,,,,,
link08,0,0,0.00499999999999998,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtual/meshes/link08.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtual/meshes/link08.STL,,soliddisk-8,Coordinate System8,,joint08,revolute,0,0,-0.03,0,0,0,link07,0,0,0,100,0,-1.571,1.571,,,,,,,,
